map_name,tileset_name
ROUTE_6,Overworld
ROUTE_6_GATE,Gate
ROUTE_7,Overworld
ROUTE_7_GATE,Gate
ROUTE_8,Overworld
ROUTE_8_GATE,Gate
ROUTE_9,Overworld
SAFARI_ZONE_CENTER,Overworld
SAFARI_ZONE_CENTER_REST_HOUSE,Interior
SAFARI_ZONE_EAST,Overworld
SAFARI_ZONE_EAST_REST_HOUSE,Interior
SAFARI_ZONE_GATE,Gate
SAFARI_ZONE_NORTH,Overworld
SAFARI_ZONE_NORTH_REST_HOUSE,Interior
SAFARI_ZONE_SECRET_HOUSE,Interior
SAFARI_ZONE_WEST,Overworld
SAFARI_ZONE_WEST_REST_HOUSE,Interior
SAFFRON_CITY,Overworld
SAFFRON_GYM,Gym
SAFFRON_MART,Mart
SAFFRON_PIDGEY_HOUSE,House
SAFFRON_POKECENTER,Pokecenter
SEAFOAM_ISLANDS_1F,Cavern
SEAFOAM_ISLANDS_B1F,Cavern
SEAFOAM_ISLANDS_B2F,Cavern
SEAFOAM_ISLANDS_B3F,Cavern
SEAFOAM_ISLANDS_B4F,Cavern
SILPH_CO_10F,Facility
SILPH_CO_11F,Facility
SILPH_CO_1F,Facility
SILPH_CO_2F,Facility
SILPH_CO_3F,Facility
SILPH_CO_4F,Facility
SILPH_CO_5F,Facility
SILPH_CO_6F,Facility
SILPH_CO_7F,Facility
SILPH_CO_8F,Facility
SILPH_CO_9F,Facility
SILPH_CO_ELEVATOR,Facility
SS_ANNE_1F,Ship
SS_ANNE_1F_ROOMS,Ship
SS_ANNE_2F,Ship
SS_ANNE_2F_ROOMS,Ship
SS_ANNE_3F,Ship
SS_ANNE_B1F,Ship
SS_ANNE_B1F_ROOMS,Ship
SS_ANNE_BOW,Ship
SS_ANNE_CAPTAINS_ROOM,Ship
SS_ANNE_KITCHEN,Ship
SUMMER_BEACH_HOUSE,BeachHouse
TRADE_CENTER,Gate
UNDERGROUND_PATH_NORTH_SOUTH,Underground
UNDERGROUND_PATH_ROUTE_5,Underground
UNDERGROUND_PATH_ROUTE_6,Underground
UNDERGROUND_PATH_ROUTE_7,Underground
UNDERGROUND_PATH_ROUTE_8,Underground
UNDERGROUND_PATH_WEST_EAST,Underground
VERMILION_CITY,Overworld
VERMILION_DOCK,ShipPort
VERMILION_GYM,Gym
VERMILION_MART,Mart
VERMILION_OLD_ROD_HOUSE,House
VERMILION_PIDGEY_HOUSE,House
VERMILION_POKECENTER,Pokecenter
VERMILION_TRADE_HOUSE,House
VICTORY_ROAD_1F,Cavern
VICTORY_ROAD_2F,Cavern
VICTORY_ROAD_3F,Cavern
VIRIDIAN_CITY,Overworld
VIRIDIAN_FOREST,Forest
VIRIDIAN_FOREST_NORTH_GATE,ForestGate
VIRIDIAN_FOREST_SOUTH_GATE,ForestGate
VIRIDIAN_GYM,Gym
VIRIDIAN_MART,Mart
VIRIDIAN_NICKNAME_HOUSE,House
VIRIDIAN_POKECENTER,Pokecenter
VIRIDIAN_SCHOOL_HOUSE,House
WARDENS_HOUSE,Lab
