from_map,from_x,from_y,to_map,to_x,to_y,warp_type,notes
CELADON_GYM,4,17,CELADON_CITY,12,27,door,To CELADON_CITY
CELADON_HOTEL,3,7,CELADON_CITY,43,27,door,To CELADON_CITY
CELADON_MANSION_1F,4,0,CELADON_CITY,24,3,door,To CELADON_CITY
CELADON_MANSION_1F,2,1,CELADON_MANSION_2F,2,1,stairs,To CELADON_MANSION_2F
CELADON_MANSION_1F,7,1,CELADON_MANSION_2F,7,1,stairs,To CELADON_MANSION_2F
CELADON_MANSION_1F,4,11,CELADON_CITY,24,9,door,To CELADON_CITY
CELADON_MANSION_2F,2,1,CELADON_MANSION_1F,2,1,stairs,To CELADON_MANSION_1F
CELADON_MANSION_2F,4,1,CELADON_MANSION_3F,4,1,stairs,To CELADON_MANSION_3F
CELADON_MANSION_2F,6,1,CELADON_MANSION_3F,6,1,stairs,To CELADON_MANSION_3F
CELADON_MANSION_2F,7,1,CELADON_MANSION_1F,7,1,stairs,To CELADON_MANSION_1F
CELADON_MANSION_3F,2,1,CELADON_MANSION_ROOF,2,1,stairs,To CELADON_MANSION_ROOF
CELADON_MANSION_3F,4,1,CELADON_MANSION_2F,4,1,stairs,To CELADON_MANSION_2F
CELADON_MANSION_3F,6,1,CELADON_MANSION_2F,6,1,stairs,To CELADON_MANSION_2F
CELADON_MANSION_3F,7,1,CELADON_MANSION_ROOF,6,1,stairs,To CELADON_MANSION_ROOF
CELADON_MANSION_ROOF,2,1,CELADON_MANSION_3F,2,1,stairs,To CELADON_MANSION_3F
CELADON_MANSION_ROOF,6,1,CELADON_MANSION_3F,7,1,stairs,To CELADON_MANSION_3F
CELADON_MANSION_ROOF,2,7,CELADON_MANSION_ROOF_HOUSE,2,7,door,To CELADON_MANSION_ROOF_HOUSE
CELADON_MANSION_ROOF_HOUSE,2,7,CELADON_MANSION_ROOF,2,7,door,To CELADON_MANSION_ROOF
CELADON_MANSION_ROOF_HOUSE,3,7,CELADON_MANSION_ROOF,2,7,door,To CELADON_MANSION_ROOF
CELADON_MART_1F,1,1,CELADON_MART_ELEVATOR,1,3,stairs,To CELADON_MART_ELEVATOR
CELADON_MART_1F,12,1,CELADON_MART_2F,12,1,stairs,To CELADON_MART_2F
CELADON_MART_1F,2,7,CELADON_CITY,8,13,door,To CELADON_CITY
CELADON_MART_1F,16,7,CELADON_CITY,10,13,door,To CELADON_CITY
CELADON_MART_2F,1,1,CELADON_MART_ELEVATOR,1,3,stairs,To CELADON_MART_ELEVATOR
CELADON_MART_2F,12,1,CELADON_MART_1F,12,1,stairs,To CELADON_MART_1F
CELADON_MART_2F,16,1,CELADON_MART_3F,16,1,stairs,To CELADON_MART_3F
CELADON_MART_3F,1,1,CELADON_MART_ELEVATOR,1,3,stairs,To CELADON_MART_ELEVATOR
CELADON_MART_3F,12,1,CELADON_MART_4F,12,1,stairs,To CELADON_MART_4F
CELADON_MART_3F,16,1,CELADON_MART_2F,16,1,stairs,To CELADON_MART_2F
CELADON_MART_4F,1,1,CELADON_MART_ELEVATOR,1,3,stairs,To CELADON_MART_ELEVATOR
CELADON_MART_4F,12,1,CELADON_MART_3F,12,1,stairs,To CELADON_MART_3F
CELADON_MART_4F,16,1,CELADON_MART_5F,16,1,stairs,To CELADON_MART_5F
CELADON_MART_5F,1,1,CELADON_MART_ELEVATOR,1,3,stairs,To CELADON_MART_ELEVATOR
CELADON_MART_5F,12,1,CELADON_MART_ROOF,15,2,stairs,To CELADON_MART_ROOF
CELADON_MART_5F,16,1,CELADON_MART_4F,16,1,stairs,To CELADON_MART_4F
CELADON_MART_ELEVATOR,1,3,CELADON_MART_1F,1,1,stairs,To CELADON_MART_1F
CELADON_MART_ELEVATOR,2,3,CELADON_MART_1F,1,1,stairs,To CELADON_MART_1F
CELADON_MART_ROOF,15,2,CELADON_MART_5F,12,1,stairs,To CELADON_MART_5F
CELADON_POKECENTER,3,7,CELADON_CITY,41,9,door,To CELADON_CITY
CERULEAN_BADGE_HOUSE,2,0,CERULEAN_CITY,9,9,door,To CERULEAN_CITY
CERULEAN_BADGE_HOUSE,2,7,CERULEAN_CITY,9,11,door,To CERULEAN_CITY
CERULEAN_CAVE_1F,7,1,CERULEAN_CAVE_2F,9,1,stairs,To CERULEAN_CAVE_2F
CERULEAN_CAVE_1F,27,1,CERULEAN_CAVE_2F,29,1,stairs,To CERULEAN_CAVE_2F
CERULEAN_CAVE_1F,1,3,CERULEAN_CAVE_2F,1,3,stairs,To CERULEAN_CAVE_2F
CERULEAN_CAVE_1F,0,6,CERULEAN_CAVE_B1F,3,6,stairs,To CERULEAN_CAVE_B1F
CERULEAN_CAVE_1F,23,7,CERULEAN_CAVE_2F,22,6,stairs,To CERULEAN_CAVE_2F
CERULEAN_CAVE_1F,18,9,CERULEAN_CAVE_2F,19,7,stairs,To CERULEAN_CAVE_2F
CERULEAN_CAVE_1F,3,11,CERULEAN_CAVE_2F,3,11,stairs,To CERULEAN_CAVE_2F
CERULEAN_CAVE_1F,24,17,CERULEAN_CITY,4,11,door,To CERULEAN_CITY
CERULEAN_CAVE_2F,9,1,CERULEAN_CAVE_1F,7,1,stairs,To CERULEAN_CAVE_1F
CERULEAN_CAVE_2F,29,1,CERULEAN_CAVE_1F,27,1,stairs,To CERULEAN_CAVE_1F
CERULEAN_CAVE_2F,1,3,CERULEAN_CAVE_1F,1,3,stairs,To CERULEAN_CAVE_1F
CERULEAN_CAVE_2F,22,6,CERULEAN_CAVE_1F,23,7,stairs,To CERULEAN_CAVE_1F
CERULEAN_CAVE_2F,19,7,CERULEAN_CAVE_1F,18,9,stairs,To CERULEAN_CAVE_1F
CERULEAN_CAVE_2F,3,11,CERULEAN_CAVE_1F,3,11,stairs,To CERULEAN_CAVE_1F
CERULEAN_CAVE_B1F,3,6,CERULEAN_CAVE_1F,0,6,stairs,To CERULEAN_CAVE_1F
CERULEAN_CITY,23,0,ROUTE_24,13,35,edge,North edge to ROUTE_24
CERULEAN_CITY,9,9,CERULEAN_BADGE_HOUSE,2,0,door,To CERULEAN_BADGE_HOUSE
CERULEAN_CITY,27,9,CERULEAN_TRASHED_HOUSE,3,0,door,To CERULEAN_TRASHED_HOUSE
CERULEAN_CITY,4,11,CERULEAN_CAVE_1F,24,17,door,To CERULEAN_CAVE_1F
CERULEAN_CITY,9,11,CERULEAN_BADGE_HOUSE,2,7,door,To CERULEAN_BADGE_HOUSE
CERULEAN_CITY,27,11,CERULEAN_TRASHED_HOUSE,2,7,door,To CERULEAN_TRASHED_HOUSE
CERULEAN_CITY,19,17,CERULEAN_POKECENTER,3,7,door,To CERULEAN_POKECENTER
CERULEAN_CITY,30,19,CERULEAN_GYM,4,13,door,To CERULEAN_GYM
CERULEAN_CITY,39,23,ROUTE_9,0,14,edge,East edge to ROUTE_9
CERULEAN_CITY,13,25,BIKE_SHOP,2,7,door,To BIKE_SHOP
CERULEAN_CITY,25,25,CERULEAN_MART,3,7,door,To CERULEAN_MART
CERULEAN_CITY,0,26,ROUTE_4,89,17,edge,West edge to ROUTE_4
CERULEAN_CITY,20,35,ROUTE_5,10,0,edge,South edge to ROUTE_5
CERULEAN_GYM,4,13,CERULEAN_CITY,30,19,door,To CERULEAN_CITY
CERULEAN_MART,3,7,CERULEAN_CITY,25,25,door,To CERULEAN_CITY
CERULEAN_POKECENTER,3,7,CERULEAN_CITY,19,17,door,To CERULEAN_CITY
CERULEAN_TRASHED_HOUSE,3,0,CERULEAN_CITY,27,9,door,To CERULEAN_CITY
CERULEAN_TRASHED_HOUSE,2,7,CERULEAN_CITY,27,11,door,To CERULEAN_CITY
CHAMPIONS_ROOM,3,0,HALL_OF_FAME,4,7,door,To HALL_OF_FAME
CHAMPIONS_ROOM,4,0,HALL_OF_FAME,4,7,door,To HALL_OF_FAME
CHAMPIONS_ROOM,3,7,LANCES_ROOM,5,0,door,To LANCES_ROOM
CHAMPIONS_ROOM,4,7,LANCES_ROOM,6,0,door,To LANCES_ROOM
CINNABAR_GYM,16,17,CINNABAR_ISLAND,18,3,door,To CINNABAR_ISLAND
CINNABAR_ISLAND,12,0,ROUTE_21,11,89,edge,North edge to ROUTE_21
CINNABAR_ISLAND,6,3,POKEMON_MANSION_1F,5,27,door,To POKEMON_MANSION_1F
CINNABAR_ISLAND,18,3,CINNABAR_GYM,16,17,door,To CINNABAR_GYM
CINNABAR_ISLAND,6,9,CINNABAR_LAB,2,7,door,To CINNABAR_LAB
CINNABAR_ISLAND,19,9,ROUTE_20,0,8,edge,East edge to ROUTE_20
CINNABAR_ISLAND,11,11,CINNABAR_POKECENTER,3,7,door,To CINNABAR_POKECENTER
CINNABAR_ISLAND,15,11,CINNABAR_MART,3,7,door,To CINNABAR_MART
CINNABAR_LAB,8,4,CINNABAR_LAB_TRADE_ROOM,2,7,door,To CINNABAR_LAB_TRADE_ROOM
CINNABAR_LAB,12,4,CINNABAR_LAB_METRONOME_ROOM,2,7,door,To CINNABAR_LAB_METRONOME_ROOM
CINNABAR_LAB,16,4,CINNABAR_LAB_FOSSIL_ROOM,2,7,door,To CINNABAR_LAB_FOSSIL_ROOM
CINNABAR_LAB,2,7,CINNABAR_ISLAND,6,9,door,To CINNABAR_ISLAND
CINNABAR_LAB_FOSSIL_ROOM,2,7,CINNABAR_LAB,16,4,door,To CINNABAR_LAB
CINNABAR_LAB_FOSSIL_ROOM,3,7,CINNABAR_LAB,16,4,door,To CINNABAR_LAB
CINNABAR_LAB_METRONOME_ROOM,2,7,CINNABAR_LAB,12,4,door,To CINNABAR_LAB
CINNABAR_LAB_METRONOME_ROOM,3,7,CINNABAR_LAB,12,4,door,To CINNABAR_LAB
CINNABAR_LAB_TRADE_ROOM,2,7,CINNABAR_LAB,8,4,door,To CINNABAR_LAB
CINNABAR_LAB_TRADE_ROOM,3,7,CINNABAR_LAB,8,4,door,To CINNABAR_LAB
CINNABAR_MART,3,7,CINNABAR_ISLAND,15,11,door,To CINNABAR_ISLAND
CINNABAR_POKECENTER,3,7,CINNABAR_ISLAND,11,11,door,To CINNABAR_ISLAND
COPYCATS_HOUSE_1F,7,1,COPYCATS_HOUSE_2F,7,1,stairs,To COPYCATS_HOUSE_2F
COPYCATS_HOUSE_1F,2,7,SAFFRON_CITY,7,5,door,To SAFFRON_CITY
COPYCATS_HOUSE_2F,7,1,COPYCATS_HOUSE_1F,7,1,stairs,To COPYCATS_HOUSE_1F
DAYCARE,2,7,ROUTE_5,10,21,door,To ROUTE_5
DIGLETTS_CAVE,5,5,DIGLETTS_CAVE_ROUTE_2,4,4,door,To DIGLETTS_CAVE_ROUTE_2
DIGLETTS_CAVE,37,31,DIGLETTS_CAVE_ROUTE_11,4,4,door,To DIGLETTS_CAVE_ROUTE_11
DIGLETTS_CAVE_ROUTE_11,4,4,DIGLETTS_CAVE,37,31,door,To DIGLETTS_CAVE
DIGLETTS_CAVE_ROUTE_11,2,7,ROUTE_11,4,5,door,To ROUTE_11
DIGLETTS_CAVE_ROUTE_2,4,4,DIGLETTS_CAVE,5,5,door,To DIGLETTS_CAVE
DIGLETTS_CAVE_ROUTE_2,2,7,ROUTE_2,12,9,door,To ROUTE_2
FIGHTING_DOJO,4,11,SAFFRON_CITY,26,3,door,To SAFFRON_CITY
FUCHSIA_BILLS_GRANDPAS_HOUSE,2,7,FUCHSIA_CITY,11,27,door,To FUCHSIA_CITY
FUCHSIA_CITY,18,3,SAFARI_ZONE_GATE,3,5,gate,To SAFARI_ZONE_GATE
FUCHSIA_CITY,5,13,FUCHSIA_MART,3,7,door,To FUCHSIA_MART
FUCHSIA_CITY,22,13,FUCHSIA_MEETING_ROOM,4,7,door,To FUCHSIA_MEETING_ROOM
FUCHSIA_CITY,39,17,ROUTE_15,0,8,edge,East edge to ROUTE_15
FUCHSIA_CITY,31,24,FUCHSIA_GOOD_ROD_HOUSE,2,0,door,To FUCHSIA_GOOD_ROD_HOUSE
FUCHSIA_CITY,5,27,FUCHSIA_GYM,4,17,door,To FUCHSIA_GYM
FUCHSIA_CITY,11,27,FUCHSIA_BILLS_GRANDPAS_HOUSE,2,7,door,To FUCHSIA_BILLS_GRANDPAS_HOUSE
FUCHSIA_CITY,19,27,FUCHSIA_POKECENTER,3,7,door,To FUCHSIA_POKECENTER
FUCHSIA_CITY,27,27,WARDENS_HOUSE,4,7,door,To WARDENS_HOUSE
FUCHSIA_CITY,31,27,FUCHSIA_GOOD_ROD_HOUSE,2,7,door,To FUCHSIA_GOOD_ROD_HOUSE
FUCHSIA_CITY,0,34,ROUTE_18,49,9,edge,West edge to ROUTE_18
FUCHSIA_CITY,10,35,ROUTE_19,0,0,edge,South edge to ROUTE_19
FUCHSIA_GOOD_ROD_HOUSE,2,0,FUCHSIA_CITY,31,24,door,To FUCHSIA_CITY
FUCHSIA_GOOD_ROD_HOUSE,2,7,FUCHSIA_CITY,31,27,door,To FUCHSIA_CITY
FUCHSIA_GYM,4,17,FUCHSIA_CITY,5,27,door,To FUCHSIA_CITY
FUCHSIA_MART,3,7,FUCHSIA_CITY,5,13,door,To FUCHSIA_CITY
FUCHSIA_MEETING_ROOM,4,7,FUCHSIA_CITY,22,13,door,To FUCHSIA_CITY
FUCHSIA_POKECENTER,3,7,FUCHSIA_CITY,19,27,door,To FUCHSIA_CITY
GAME_CORNER,17,4,ROCKET_HIDEOUT_B1F,21,2,door,To ROCKET_HIDEOUT_B1F
GAME_CORNER,15,17,CELADON_CITY,28,19,door,To CELADON_CITY
GAME_CORNER_PRIZE_ROOM,4,7,CELADON_CITY,33,19,door,To CELADON_CITY
HALL_OF_FAME,4,7,CHAMPIONS_ROOM,3,0,door,To CHAMPIONS_ROOM
HALL_OF_FAME,5,7,CHAMPIONS_ROOM,4,0,door,To CHAMPIONS_ROOM
INDIGO_PLATEAU,9,5,INDIGO_PLATEAU_LOBBY,7,11,door,To INDIGO_PLATEAU_LOBBY
INDIGO_PLATEAU,10,5,INDIGO_PLATEAU_LOBBY,7,11,door,To INDIGO_PLATEAU_LOBBY
INDIGO_PLATEAU,10,17,ROUTE_23,10,0,edge,South edge to ROUTE_23
INDIGO_PLATEAU_LOBBY,8,0,LORELEIS_ROOM,4,11,door,To LORELEIS_ROOM
INDIGO_PLATEAU_LOBBY,7,11,INDIGO_PLATEAU,9,5,door,To INDIGO_PLATEAU
LANCES_ROOM,5,0,CHAMPIONS_ROOM,3,7,door,To CHAMPIONS_ROOM
LANCES_ROOM,6,0,CHAMPIONS_ROOM,3,7,door,To CHAMPIONS_ROOM
LANCES_ROOM,24,16,AGATHAS_ROOM,4,0,door,To AGATHAS_ROOM
LAVENDER_CUBONE_HOUSE,2,7,LAVENDER_TOWN,3,13,door,To LAVENDER_TOWN
LAVENDER_MART,3,7,LAVENDER_TOWN,15,13,door,To LAVENDER_TOWN
LAVENDER_POKECENTER,3,7,LAVENDER_TOWN,3,5,door,To LAVENDER_TOWN
LAVENDER_TOWN,8,0,ROUTE_10,8,71,edge,North edge to ROUTE_10
LAVENDER_TOWN,3,5,LAVENDER_POKECENTER,3,7,door,To LAVENDER_POKECENTER
LAVENDER_TOWN,14,5,POKEMON_TOWER_1F,10,17,door,To POKEMON_TOWER_1F
LAVENDER_TOWN,0,8,ROUTE_8,59,8,edge,West edge to ROUTE_8
LAVENDER_TOWN,7,9,MR_FUJIS_HOUSE,2,7,door,To MR_FUJIS_HOUSE
LAVENDER_TOWN,3,13,LAVENDER_CUBONE_HOUSE,2,7,door,To LAVENDER_CUBONE_HOUSE
LAVENDER_TOWN,7,13,NAME_RATERS_HOUSE,2,7,door,To NAME_RATERS_HOUSE
LAVENDER_TOWN,15,13,LAVENDER_MART,3,7,door,To LAVENDER_MART
LAVENDER_TOWN,9,17,ROUTE_12,8,0,edge,South edge to ROUTE_12
LORELEIS_ROOM,4,0,BRUNOS_ROOM,4,11,door,To BRUNOS_ROOM
LORELEIS_ROOM,5,0,BRUNOS_ROOM,5,11,door,To BRUNOS_ROOM
LORELEIS_ROOM,4,11,INDIGO_PLATEAU_LOBBY,8,0,door,To INDIGO_PLATEAU_LOBBY
LORELEIS_ROOM,5,11,INDIGO_PLATEAU_LOBBY,8,0,door,To INDIGO_PLATEAU_LOBBY
MR_FUJIS_HOUSE,2,7,LAVENDER_TOWN,7,9,door,To LAVENDER_TOWN
MR_PSYCHICS_HOUSE,2,7,SAFFRON_CITY,29,29,door,To SAFFRON_CITY
MT_MOON_1F,5,5,MT_MOON_B1F,5,5,stairs,To MT_MOON_B1F
MT_MOON_1F,17,11,MT_MOON_B1F,25,9,stairs,To MT_MOON_B1F
MT_MOON_1F,25,15,MT_MOON_B1F,25,15,stairs,To MT_MOON_B1F
MT_MOON_1F,14,35,ROUTE_4,18,5,door,To ROUTE_4
MT_MOON_B1F,23,3,MT_MOON_B2F,5,7,stairs,To MT_MOON_B2F
MT_MOON_B1F,27,3,ROUTE_4,24,5,door,To ROUTE_4
MT_MOON_B1F,5,5,MT_MOON_1F,5,5,stairs,To MT_MOON_1F
MT_MOON_B1F,25,9,MT_MOON_1F,17,11,stairs,To MT_MOON_1F
MT_MOON_B1F,17,11,MT_MOON_B2F,25,9,stairs,To MT_MOON_B2F
MT_MOON_B1F,25,15,MT_MOON_1F,25,15,stairs,To MT_MOON_1F
MT_MOON_B1F,21,17,MT_MOON_B2F,21,17,stairs,To MT_MOON_B2F
MT_MOON_B1F,13,27,MT_MOON_B2F,15,27,stairs,To MT_MOON_B2F
MT_MOON_B2F,5,7,MT_MOON_B1F,23,3,stairs,To MT_MOON_B1F
MT_MOON_B2F,25,9,MT_MOON_B1F,17,11,stairs,To MT_MOON_B1F
MT_MOON_B2F,21,17,MT_MOON_B1F,21,17,stairs,To MT_MOON_B1F
MT_MOON_B2F,15,27,MT_MOON_B1F,13,27,stairs,To MT_MOON_B1F
MT_MOON_POKECENTER,3,7,ROUTE_4,11,5,door,To ROUTE_4
MUSEUM_1F,7,7,MUSEUM_2F,7,7,stairs,To MUSEUM_2F
MUSEUM_1F,10,7,PEWTER_CITY,14,7,door,To PEWTER_CITY
MUSEUM_1F,16,7,PEWTER_CITY,19,5,door,To PEWTER_CITY
MUSEUM_2F,7,7,MUSEUM_1F,7,7,stairs,To MUSEUM_1F
NAME_RATERS_HOUSE,2,7,LAVENDER_TOWN,7,13,door,To LAVENDER_TOWN
OAKS_LAB,5,11,PALLET_TOWN,12,11,door,To PALLET_TOWN
PALLET_TOWN,10,0,ROUTE_1,10,35,edge,North edge to ROUTE_1
PALLET_TOWN,5,5,PLAYERS_HOUSE_1F,2,7,door,To PLAYERS_HOUSE_1F
PALLET_TOWN,13,5,RIVALS_HOUSE,2,7,door,To RIVALS_HOUSE
PALLET_TOWN,12,11,OAKS_LAB,5,11,door,To OAKS_LAB
PALLET_TOWN,3,17,ROUTE_21,2,0,edge,South edge to ROUTE_21
PEWTER_CITY,19,5,MUSEUM_1F,16,7,door,To MUSEUM_1F
PEWTER_CITY,14,7,MUSEUM_1F,10,7,door,To MUSEUM_1F
PEWTER_CITY,29,13,PEWTER_NIDORAN_HOUSE,2,7,door,To PEWTER_NIDORAN_HOUSE
PEWTER_CITY,16,17,PEWTER_GYM,4,13,door,To PEWTER_GYM
PEWTER_CITY,23,17,PEWTER_MART,3,7,door,To PEWTER_MART
PEWTER_CITY,13,25,PEWTER_POKECENTER,3,7,door,To PEWTER_POKECENTER
PEWTER_CITY,39,27,ROUTE_3,0,17,edge,East edge to ROUTE_3
PEWTER_CITY,7,29,PEWTER_SPEECH_HOUSE,2,7,door,To PEWTER_SPEECH_HOUSE
PEWTER_CITY,26,35,ROUTE_2,9,0,edge,South edge to ROUTE_2
PEWTER_GYM,4,13,PEWTER_CITY,16,17,door,To PEWTER_CITY
PEWTER_MART,3,7,PEWTER_CITY,23,17,door,To PEWTER_CITY
PEWTER_NIDORAN_HOUSE,2,7,PEWTER_CITY,29,13,door,To PEWTER_CITY
PEWTER_POKECENTER,3,7,PEWTER_CITY,13,25,door,To PEWTER_CITY
PEWTER_SPEECH_HOUSE,2,7,PEWTER_CITY,7,29,door,To PEWTER_CITY
PLAYERS_HOUSE_1F,7,1,PLAYERS_HOUSE_2F,7,1,stairs,To PLAYERS_HOUSE_2F
PLAYERS_HOUSE_1F,2,7,PALLET_TOWN,5,5,door,To PALLET_TOWN
PLAYERS_HOUSE_2F,7,1,PLAYERS_HOUSE_1F,7,1,stairs,To PLAYERS_HOUSE_1F
POKEMON_FAN_CLUB,2,7,VERMILION_CITY,9,13,door,To VERMILION_CITY
POKEMON_MANSION_1F,5,10,POKEMON_MANSION_2F,5,10,stairs,To POKEMON_MANSION_2F
POKEMON_MANSION_1F,21,23,POKEMON_MANSION_B1F,23,22,stairs,To POKEMON_MANSION_B1F
POKEMON_MANSION_1F,5,27,CINNABAR_ISLAND,6,3,door,To CINNABAR_ISLAND
POKEMON_MANSION_2F,6,1,POKEMON_MANSION_3F,6,1,stairs,To POKEMON_MANSION_3F
POKEMON_MANSION_2F,5,10,POKEMON_MANSION_1F,5,10,stairs,To POKEMON_MANSION_1F
POKEMON_MANSION_2F,7,10,POKEMON_MANSION_3F,7,10,stairs,To POKEMON_MANSION_3F
POKEMON_MANSION_2F,25,14,POKEMON_MANSION_3F,25,14,stairs,To POKEMON_MANSION_3F
POKEMON_MANSION_3F,6,1,POKEMON_MANSION_2F,6,1,stairs,To POKEMON_MANSION_2F
POKEMON_MANSION_3F,7,10,POKEMON_MANSION_2F,7,10,stairs,To POKEMON_MANSION_2F
POKEMON_MANSION_3F,25,14,POKEMON_MANSION_2F,25,14,stairs,To POKEMON_MANSION_2F
POKEMON_MANSION_B1F,23,22,POKEMON_MANSION_1F,21,23,stairs,To POKEMON_MANSION_1F
POKEMON_TOWER_1F,18,9,POKEMON_TOWER_2F,18,9,stairs,To POKEMON_TOWER_2F
POKEMON_TOWER_1F,10,17,LAVENDER_TOWN,14,5,door,To LAVENDER_TOWN
POKEMON_TOWER_2F,3,9,POKEMON_TOWER_3F,3,9,stairs,To POKEMON_TOWER_3F
POKEMON_TOWER_2F,18,9,POKEMON_TOWER_1F,18,9,stairs,To POKEMON_TOWER_1F
POKEMON_TOWER_3F,3,9,POKEMON_TOWER_2F,3,9,stairs,To POKEMON_TOWER_2F
POKEMON_TOWER_3F,18,9,POKEMON_TOWER_4F,18,9,stairs,To POKEMON_TOWER_4F
POKEMON_TOWER_4F,3,9,POKEMON_TOWER_5F,3,9,stairs,To POKEMON_TOWER_5F
POKEMON_TOWER_4F,18,9,POKEMON_TOWER_3F,18,9,stairs,To POKEMON_TOWER_3F
POKEMON_TOWER_5F,3,9,POKEMON_TOWER_4F,3,9,stairs,To POKEMON_TOWER_4F
POKEMON_TOWER_5F,18,9,POKEMON_TOWER_6F,18,9,stairs,To POKEMON_TOWER_6F
POKEMON_TOWER_6F,18,9,POKEMON_TOWER_5F,18,9,stairs,To POKEMON_TOWER_5F
POKEMON_TOWER_6F,9,16,POKEMON_TOWER_7F,9,16,stairs,To POKEMON_TOWER_7F
POKEMON_TOWER_7F,9,16,POKEMON_TOWER_6F,9,16,stairs,To POKEMON_TOWER_6F
POWER_PLANT,4,35,ROUTE_10,6,39,door,To ROUTE_10
RIVALS_HOUSE,2,7,PALLET_TOWN,13,5,door,To PALLET_TOWN
ROCKET_HIDEOUT_B1F,21,2,GAME_CORNER,17,4,door,To GAME_CORNER
ROCKET_HIDEOUT_B1F,23,2,ROCKET_HIDEOUT_B2F,27,8,stairs,To ROCKET_HIDEOUT_B2F
ROCKET_HIDEOUT_B1F,24,19,ROCKET_HIDEOUT_ELEVATOR,2,1,stairs,To ROCKET_HIDEOUT_ELEVATOR
ROCKET_HIDEOUT_B1F,25,19,ROCKET_HIDEOUT_ELEVATOR,3,1,stairs,To ROCKET_HIDEOUT_ELEVATOR
ROCKET_HIDEOUT_B1F,21,24,ROCKET_HIDEOUT_B2F,21,22,stairs,To ROCKET_HIDEOUT_B2F
ROCKET_HIDEOUT_B2F,21,8,ROCKET_HIDEOUT_B3F,25,6,stairs,To ROCKET_HIDEOUT_B3F
ROCKET_HIDEOUT_B2F,27,8,ROCKET_HIDEOUT_B1F,23,2,stairs,To ROCKET_HIDEOUT_B1F
ROCKET_HIDEOUT_B2F,24,19,ROCKET_HIDEOUT_ELEVATOR,2,1,stairs,To ROCKET_HIDEOUT_ELEVATOR
ROCKET_HIDEOUT_B2F,25,19,ROCKET_HIDEOUT_ELEVATOR,3,1,stairs,To ROCKET_HIDEOUT_ELEVATOR
ROCKET_HIDEOUT_B2F,21,22,ROCKET_HIDEOUT_B1F,21,24,stairs,To ROCKET_HIDEOUT_B1F
ROCKET_HIDEOUT_B3F,25,6,ROCKET_HIDEOUT_B2F,21,8,stairs,To ROCKET_HIDEOUT_B2F
ROCKET_HIDEOUT_B3F,19,18,ROCKET_HIDEOUT_B4F,19,10,stairs,To ROCKET_HIDEOUT_B4F
ROCKET_HIDEOUT_B4F,19,10,ROCKET_HIDEOUT_B3F,19,18,stairs,To ROCKET_HIDEOUT_B3F
ROCKET_HIDEOUT_B4F,24,15,ROCKET_HIDEOUT_ELEVATOR,2,1,stairs,To ROCKET_HIDEOUT_ELEVATOR
ROCKET_HIDEOUT_B4F,25,15,ROCKET_HIDEOUT_ELEVATOR,3,1,stairs,To ROCKET_HIDEOUT_ELEVATOR
