map_name,map_id_hex,width,height,area_type,parent_area
PEWTER_NIDORAN_HOUSE,,8,8,indoor,PEWTER_CITY
PEWTER_POKECENTER,,14,8,indoor,PEWTER_CITY
PEWTER_SPEECH_HOUSE,,8,8,indoor,PEWTER_CITY
PLAYERS_HOUSE_1F,,8,8,indoor,
PLAYERS_HOUSE_2F,,8,8,indoor,
POKEMON_FAN_CLUB,,8,8,indoor,
POKEMON_MANSION_1F,,30,28,indoor,
POKEMON_MANSION_2F,,30,28,indoor,
POKEMON_MANSION_3F,,30,18,indoor,
POKEMON_MANSION_B1F,,30,28,indoor,
POKEMON_TOWER_1F,,20,18,indoor,
POKEMON_TOWER_2F,,20,18,indoor,
POKEMON_TOWER_3F,,20,18,indoor,
POKEMON_TOWER_4F,,20,18,indoor,
POKEMON_TOWER_5F,,20,18,indoor,
POKEMON_TOWER_6F,,20,18,indoor,
POKEMON_TOWER_7F,,20,18,indoor,
POWER_PLANT,,40,36,dungeon,
RIVALS_HOUSE,,8,8,indoor,
ROCKET_HIDEOUT_B1F,,30,28,indoor,
ROCKET_HIDEOUT_B2F,,30,28,indoor,
ROCKET_HIDEOUT_B3F,,30,28,indoor,
ROCKET_HIDEOUT_B4F,,30,24,indoor,
ROCKET_HIDEOUT_ELEVATOR,,6,8,indoor,
ROCK_TUNNEL_1F,,40,36,dungeon,
ROCK_TUNNEL_B1F,,40,36,dungeon,
ROCK_TUNNEL_POKECENTER,,14,8,dungeon,
ROUTE_1,,20,36,route,
ROUTE_10,,20,72,route,
ROUTE_11,,60,18,route,
ROUTE_11_GATE_1F,,8,10,gate,
ROUTE_11_GATE_2F,,8,8,gate,
ROUTE_12,,20,108,route,
ROUTE_12_GATE_1F,,10,8,gate,
ROUTE_12_GATE_2F,,8,8,gate,
ROUTE_12_SUPER_ROD_HOUSE,,8,8,indoor,
ROUTE_13,,60,18,route,
ROUTE_14,,20,54,route,
ROUTE_15,,60,18,route,
ROUTE_15_GATE_1F,,8,10,gate,
ROUTE_15_GATE_2F,,8,8,gate,
ROUTE_16,,40,18,route,
ROUTE_16_FLY_HOUSE,,8,8,indoor,
ROUTE_16_GATE_1F,,8,14,gate,
ROUTE_16_GATE_2F,,8,8,gate,
ROUTE_17,,20,144,route,
ROUTE_18,,50,18,route,
ROUTE_18_GATE_1F,,8,10,gate,
ROUTE_18_GATE_2F,,8,8,gate,
ROUTE_19,,20,54,route,
ROUTE_2,,20,72,route,
ROUTE_20,,100,18,route,
ROUTE_21,,20,90,route,
ROUTE_22,,40,18,route,
ROUTE_22_GATE,,10,8,gate,
ROUTE_23,,20,144,route,
ROUTE_24,,20,36,route,
ROUTE_25,,60,18,route,
ROUTE_2_GATE,,10,8,gate,
ROUTE_2_TRADE_HOUSE,,8,8,indoor,
ROUTE_3,,70,18,route,
ROUTE_4,,90,18,route,
ROUTE_5,,20,36,route,
ROUTE_5_GATE,,8,6,gate,
ROUTE_6,,20,36,route,
ROUTE_6_GATE,,8,6,gate,
ROUTE_7,,20,18,route,
ROUTE_7_GATE,,6,8,gate,
ROUTE_8,,60,18,route,
ROUTE_8_GATE,,6,8,gate,
ROUTE_9,,60,18,route,
SAFARI_ZONE_CENTER,,30,26,route,
SAFARI_ZONE_CENTER_REST_HOUSE,,8,8,indoor,
SAFARI_ZONE_EAST,,30,26,route,
SAFARI_ZONE_EAST_REST_HOUSE,,8,8,indoor,
SAFARI_ZONE_GATE,,8,6,gate,
SAFARI_ZONE_NORTH,,40,36,route,
SAFARI_ZONE_NORTH_REST_HOUSE,,8,8,indoor,
SAFARI_ZONE_SECRET_HOUSE,,8,8,indoor,
SAFARI_ZONE_WEST,,30,26,route,
SAFARI_ZONE_WEST_REST_HOUSE,,8,8,indoor,
SAFFRON_CITY,,40,36,city,
SAFFRON_GYM,,20,18,indoor,SAFFRON_CITY
SAFFRON_MART,,8,8,indoor,SAFFRON_CITY
SAFFRON_PIDGEY_HOUSE,,8,8,indoor,SAFFRON_CITY
SAFFRON_POKECENTER,,14,8,indoor,SAFFRON_CITY
SEAFOAM_ISLANDS_1F,,30,18,indoor,
SEAFOAM_ISLANDS_B1F,,30,18,indoor,
SEAFOAM_ISLANDS_B2F,,30,18,indoor,
SEAFOAM_ISLANDS_B3F,,30,18,indoor,
SEAFOAM_ISLANDS_B4F,,30,18,indoor,
SILPH_CO_10F,,16,18,indoor,
SILPH_CO_11F,,18,18,indoor,
SILPH_CO_1F,,30,18,indoor,
SILPH_CO_2F,,30,18,indoor,
SILPH_CO_3F,,30,18,indoor,
SILPH_CO_4F,,30,18,indoor,
SILPH_CO_5F,,30,18,indoor,
SILPH_CO_6F,,26,18,indoor,
SILPH_CO_7F,,26,18,indoor,
SILPH_CO_8F,,26,18,indoor,
SILPH_CO_9F,,26,18,indoor,
SILPH_CO_ELEVATOR,,4,4,indoor,
SS_ANNE_1F,,40,18,indoor,
SS_ANNE_1F_ROOMS,,24,16,indoor,
SS_ANNE_2F,,40,18,indoor,
SS_ANNE_2F_ROOMS,,24,16,indoor,
SS_ANNE_3F,,20,6,indoor,
SS_ANNE_B1F,,30,8,indoor,
SS_ANNE_B1F_ROOMS,,24,16,indoor,
SS_ANNE_BOW,,20,14,indoor,
SS_ANNE_CAPTAINS_ROOM,,6,8,indoor,
SS_ANNE_KITCHEN,,14,16,indoor,
SUMMER_BEACH_HOUSE,,14,8,indoor,
TRADE_CENTER,,10,8,indoor,
UNDERGROUND_PATH_NORTH_SOUTH,,8,46,indoor,
UNDERGROUND_PATH_ROUTE_5,,8,8,route,
UNDERGROUND_PATH_ROUTE_6,,8,8,route,
UNDERGROUND_PATH_ROUTE_7,,8,8,route,
UNDERGROUND_PATH_ROUTE_8,,8,8,route,
UNDERGROUND_PATH_WEST_EAST,,50,8,indoor,
VERMILION_CITY,,40,36,city,
VERMILION_DOCK,,28,12,indoor,VERMILION_CITY
VERMILION_GYM,,10,18,indoor,VERMILION_CITY
VERMILION_MART,,8,8,indoor,VERMILION_CITY
VERMILION_OLD_ROD_HOUSE,,8,8,indoor,VERMILION_CITY
VERMILION_PIDGEY_HOUSE,,8,8,indoor,VERMILION_CITY
VERMILION_POKECENTER,,14,8,indoor,VERMILION_CITY
VERMILION_TRADE_HOUSE,,8,8,indoor,VERMILION_CITY
VICTORY_ROAD_1F,,20,18,dungeon,
VICTORY_ROAD_2F,,30,18,dungeon,
VICTORY_ROAD_3F,,30,18,dungeon,
VIRIDIAN_CITY,,40,36,city,
VIRIDIAN_FOREST,,34,48,dungeon,
VIRIDIAN_FOREST_NORTH_GATE,,10,8,gate,
VIRIDIAN_FOREST_SOUTH_GATE,,10,8,gate,
VIRIDIAN_GYM,,20,18,indoor,VIRIDIAN_CITY
VIRIDIAN_MART,,8,8,indoor,VIRIDIAN_CITY
VIRIDIAN_NICKNAME_HOUSE,,8,8,indoor,VIRIDIAN_CITY
VIRIDIAN_POKECENTER,,14,8,indoor,VIRIDIAN_CITY
VIRIDIAN_SCHOOL_HOUSE,,8,8,indoor,VIRIDIAN_CITY
WARDENS_HOUSE,,10,8,indoor,
